Name,Category,Date,Eps Watched (For Pending),Genre,Notes,Score /5,Seasons Completed,Seasons Out,Show Status,Watch Status,YOR
The Eminence In Shadow,Anime,,,"Action, Adventure, Comedy, Isekai",,⭐️⭐️⭐️⭐️⭐️,2,2,Ongoing,Watching,2022
Zom 100,Anime,,,"Adventure, Comedy, Slice of Life",,⭐️⭐️⭐️⭐️⭐️,,1,Ongoing,Watching,2023
Naruto,Anime,,,,,⭐️⭐️⭐️⭐️,5,5,Completed,Completed,2002
The Kingdoms Of Ruin,Anime,,,,,,,1,Ongoing,Watching,2023
Bleach,Anime,,,,,⭐️⭐️⭐️⭐️⭐️,3,17,Ongoing,Paused,2004
Assassination Classroom,Anime,,,,,⭐️⭐️⭐️⭐️⭐️,2,2,Completed,Completed,2013
Good Luck Girl,Anime,,,,,⭐️⭐️⭐️⭐️,1,1,Cancelled,Completed,2012
My Hero Academia,Anime,,,,,⭐️⭐️⭐️⭐️⭐️,4,6,Ongoing,Paused,2016
ReZero: Starting Life In Another World,Anime,,,,,⭐️⭐️⭐️⭐️⭐️,2,2,Ongoing,Completed,2016
Future Diary,Anime,,,,,⭐️⭐️⭐️⭐️,,1,Completed,Paused,2011
Konosuba,Anime,,,,,⭐️⭐️⭐️⭐️⭐️,2,2,Ongoing,Completed,2016
The Disastrous Life Of Saiki K,Anime,,,,,⭐️⭐️⭐️⭐️,4,4,Completed,Completed,2016
Boruto: Naruto Next Generations,Anime,,,,,⭐️⭐️⭐️⭐️⭐️,,6,Ongoing,Paused,2017
Fairy Tail,Anime,,,,,,,9,Completed,Paused,2011
Haikyuu,Anime,,,,,⭐️⭐️⭐️⭐️⭐️,4,4,Ongoing,Completed,2014
Dragon Ball Z,Anime,,,,,⭐️⭐️⭐️⭐️,9,9,Completed,Completed,1989
Daily Life Of Highschool Boys,Anime,,,,,,,1,Completed,Paused,2012
Dragon Ball Super,Anime,,,,,⭐️⭐️⭐️⭐️,,2,Completed,Paused,2015
The Promised Neverland,Anime,,,,,,1,2,Completed,Paused,2019
Stein’s;Gate,Anime,,,,,⭐️⭐️⭐️⭐️⭐️,1,1,Completed,Completed,2011
Witchcraft Works,Anime,,,,,⭐️⭐️⭐️,1,1,Cancelled,Completed,2014
Beyond The Boundary,Anime,,,,,⭐️⭐️⭐️⭐️,1,1,Completed,Completed,
Monster Musume: Everyday Life With Monster Girls,Anime,,,,,⭐️⭐️⭐️,1,1,Completed,Paused,2015
